,state_query,action_result
102,102,"2349, 3772, 3773, 3774, 4008, 5324, 6780, 8129, 8330, 8331, 8503, 9554, 9626, 10820"
103,103,"2349, 3772, 3773, 3774, 4008, 5324, 6780, 8129, 8330, 8331, 8503, 9554, 9626, 10820"
104,104,107
105,105,"65, 72, 81, 96, 1145, 1931, 1939, 2308, 2309, 2452, 2472, 2616, 2710, 3003, 3004, 3455, 5877, 7508, 8565, 9886, 10944, 11347"
106,106,"65, 72, 81, 96, 1145, 1931, 1939, 2308, 2309, 2452, 2472, 2616, 2710, 3003, 3004, 3455, 5877, 7508, 8565, 9886, 10944, 11347"
107,107,107
108,108,"101, 8681, 9695"
109,109,"79, 81, 114, 115, 116, 155, 3037, 5429, 5772, 5877, 6802, 7212, 7675, 7712, 8030, 10727"
110,110,"606, 1533, 2268, 3007, 6934, 10292, 11258"
111,111,"2273, 9485"
112,112,"606, 1533, 2268, 3007, 6934, 10292, 11258"
113,113,"2273, 9485"
114,114,155
115,115,"71, 385, 469, 1607, 1738, 2834, 4080, 4098, 9505, 9558, 11426"
116,116,"1662, 2041, 5665, 5666, 5667, 9102, 9636"
117,117,155
118,118,"71, 385, 469, 1607, 1738, 2834, 4080, 4098, 9505, 9558, 11426"
119,119,"1662, 2041, 5665, 5666, 5667, 9102, 9636"
120,120,155
121,121,"71, 385, 469, 1607, 1738, 2834, 4080, 4098, 9505, 9558, 11426"
122,122,"1662, 2041, 5665, 5666, 5667, 9102, 9636"
123,123,"300, 2032, 2692, 5110, 8685, 9496, 10727"
124,124,155
125,125,155
126,126,"71, 310, 1135, 1738, 4224, 4315, 7306, 8503, 9875"
127,127,155
128,128,"97, 3154"
129,129,"606, 992, 1771, 2163, 2170, 2338, 2428, 2692, 3140, 3772, 3773, 3774, 4008, 4768, 5398, 5749, 5994, 6780, 6803, 7776, 8393, 8503, 8792, 8795, 9252, 9433, 9482, 9554, 9563, 9623, 9624, 10337"
130,130,"723, 1210, 1591, 3046, 7796, 8414, 8783"
131,131,"817, 6095"
132,132,"96, 1931, 2452, 2616, 2715, 3123, 3173, 4239, 5142, 5143, 6147, 7508, 7726, 7734, 8681, 8696, 10080"
133,133,96
134,134,"1140, 4315"
135,135,96
136,136,"1140, 4315"
137,137,"96, 107, 152, 155, 165, 766, 1145, 3590, 4156, 6990, 7239"
138,138,"2811, 4224, 4711, 5393, 6024, 8446, 8518, 9568, 10600"
139,139,"289, 1086, 1446, 1474, 1495, 1738, 1798, 3977, 4622, 5478, 6861, 8206, 8207, 9657"
140,140,"71, 367, 368, 385, 433, 1158, 1738, 2213, 2216, 2217, 2244, 2394, 3485, 3493, 3494, 5247, 5797, 8156, 9505"
141,141,"71, 1474, 1738, 2602, 4098, 4644, 4980, 5232, 5336, 5487, 7239, 7365, 8795, 9194, 9256, 9500, 9505"
142,142,"71, 367, 368, 385, 433, 1158, 1738, 2213, 2216, 2217, 2244, 2394, 3485, 3493, 3494, 5247, 5797, 8156, 9505"
143,143,"71, 1474, 1738, 2602, 4098, 4644, 4980, 5232, 5336, 5487, 7239, 7365, 8795, 9194, 9256, 9500, 9505"
144,144,"1474, 2151, 2170, 5454, 5455, 5918, 8131, 8503, 9618, 9907, 10421, 10969, 11132"
145,145,"107, 114, 115, 116, 3796"
146,146,"107, 114, 115, 116, 3796"
147,147,"2213, 7050"
148,148,7686
149,149,"97, 792, 795, 831, 2715, 3803, 5380, 7686, 9584, 9585, 9690, 11256"
150,150,"7465, 8261"
151,151,107
152,152,"96, 97"
153,153,"606, 670, 1068, 1086, 1737, 1738, 1939, 2151, 3455, 5746, 6803, 7212, 7302, 7894, 8030, 8708, 8795, 9623, 9624, 10421"
154,154,"58, 71, 72, 89, 4080, 4402, 5393, 6788, 8566, 8569, 9505, 10061"
155,155,"72, 155, 256, 257, 258, 683, 1068, 1145, 1697, 1939, 2715, 5232, 6803, 8740, 8741, 9252, 10421"
156,156,"529, 670, 1035, 2361, 5730, 7898, 8515, 8684, 9299, 9504"
157,157,"71, 1771, 2163, 2214, 2692, 5393, 5994, 6059, 7776, 8518, 9033, 9650, 10351, 10421, 10717, 10727"
158,158,"165, 3490, 3702, 5487, 6208, 7369, 7698, 7699, 10654"
